расшифровка;whisper;имя файла;ошибка
а вот ну и или на стороне мы их заказываем особо так сказать надёжные и качественные и высокопроизводительные ну вот;Или на стороне мы их заказываем, особо надежные и качественные, и высокопроизводительные.;005cada7-4031-46b0-8714-d072127c99c3;"а вот ну и; так сказать; ну вот"
для меня самое главное было это ну просто с друганами с братками увидеться;Для меня самое главное было это... Ну, просто с друганами, с братками увидеться.;02d3f0ab-32ea-4589-8a53-72a2640db7e8;
у хасанова как было там он сначала полил яблоню на яблоне выросло много яблок потом огурцы много огурцов потом сам начал пить там ему стало лучше;У Хасанова как было там? Он сначала полил яблонью, на яблоне выросло много яблок, потом огурцы, много огурцов. Потом сам начал пить, ему стало лучше.;0a6bdff5-fbbc-4f61-b0e2-23f1b343ffeb;яблюнью, там
но она тётка такая то что она ест и толстая это не мешает ей быть мастером;Но она отсюда такая, то, что она ест толсто, это не мешает ей быть мастером.;0ad9c022-bd52-4d1e-ad37-f56036d409a5;"тётка; и; толстая"
блин а как они через кассу проводят они же должны будут выписывать там фискальный чек там должно быть написано маска ну как минимум да там или что-то хоть что-то должно быть написано равно двести рублей;Блин, а как они их через кассу проводят? Они же должны будут выписать там фискальный чек, там должно быть написано маска, ну, как минимум, да, там, или что-то, хоть что-то должно быть написано равно 200 рублей.;0e9b38c1-3342-4555-ab60-b5dad7cfb84f;выписать
доброе утро мои волшебники и волшебницы сегодня с нами произойдёт невероятно приятное чудо;Доброе утро, мои волшебники и волшебницы! Сегодня с нами произойдёт невероятно приятное чудо!;1190fb03-9a97-4c00-9a6f-5c09c39b6b2a;
может быть может быть стас я говорю я вот был ещё двенадцати не было ну да где-то так;может быть может быть стас я говорю я вот был еще 12 не было ну да и так;1325c5f5-33eb-485d-aba9-1bed091153a9;где-то
привет сколько стоит билет на самолёт из перми в чехословакию в тысяча девятьсот девяносто третьем году;Привет! Сколько стоит билет на самолет из Перми в Чехословакии в 1993 году?;178ce65a-c95c-49a3-b544-c6e3054e3dcd;Чехословакию
а сейчас мы с тобой проверим насколько этот бот хорошо переводит голосовое сообщение в текст ника хомячок;Сейчас мы с тобой проверим, насколько этот бот хорошо переводит голосовое сообщение в текст. Ника Хомячок.;1a3e62c2-7ff3-45fd-aea6-86fa0f6ac4d8;а
я из беседы поп груз ваша дочь попросила чтобы вы ей перезвонили так как сегодня она потратила всех бомжей на вас спасибо большое до свидания ха-ха;Я из беседы Пап Груз. Ваша дочь попросила, чтобы вы ей перезвонили, так как сегодня она потратила всех бомжей на вас. Спасибо большое. До свидания.;1bc38c53-994d-43c3-a91c-2d6130a29719;поп
очень хочется есть сейчас я пойду есть картошку без мяса;Очень хочется есть. Сейчас я пойду есть картошку без мяса.;1f9e6601-f346-4813-8dfa-8bb555cfef4c;
если мы говорим про полноценные получается две комнаты плюс кухня гостиная по стоимости от двадцати одного миллиона восемьсот тысяч предложения будут;Если мы говорим про полноценные, получается, две комнаты плюс кухня-гостиная, по стоимости от 21 миллиона 800 тысяч предложения будут.;2221d5b4-10b8-4c41-80f6-76ce74483c87;
всё что происходит сейчас в мире это заговор каких-то масонов высших сил и прочего прочего и что мы все скоро умрём и вообще конец света всё;Все, что происходит сейчас в мире, это заговор каких-то масонов, высших сил и прочего-прочего. И что мы все скоро умрем, и вообще конец света все.;2445af8c-4c7e-4f82-a12b-5672145fa598;
в чате этого мм индюка би би си си ээ вычитал что тоже была переписка с админом что у него юзеры спрашивали;чате этого индюка вебе сиси вычитал что тоже была переписка с админом что у него юзеры спрашивали и;25fd2316-563b-46a8-89a0-98ab9c88b8d8;"в; би би си си; ээ"
и если вы мужчина и можно будет ещё и пообниматься да это будет очень весело и классно;И если вы мужчина, можно будет ещё и пообниматься. Это будет очень весело и классно.;27859234-21d6-43b8-806e-6b1a7af351af;"и; да"
да вот например прошился у тебя телефон у тебя высвечивается в листе две кнопки перезагрузить и очистить кэш что ты делаешь;Да, например, прошился у тебя телефон, у тебя высвечиваются в листе две кнопки Перезагрузить и очистить кэш. Что ты делаешь?;2c818050-b67f-423e-95cc-ec2109d3ced1;вот
привет включить фильм лангольеры привет открыть мастер и маргарита привет фильм проклятие монахи;Привет! Включить фильм Лангольера. Привет! Открыть мастерю Маргариту. Привет! Фильм Проклятие Монастыря.;2de787a7-820a-4424-8f94-6ca81709e37c;"лангоньеры; мастер и; Маргариту; монахи"
и так далее розовый для синяков под глазами жёлтый тоже а все остальные там этот можно использовать по-разному;И так далее. Розовый для синяков под глазами, желтый тоже. А все остальные там этот, можно использовать по-разному.;2e21a3d3-2bf9-4700-9593-2bab9984259a;
а это наверное шутка такая ты слышала блюз что ли типа или что типа у блюз там что чёрный сидит;а это шутка такая ты слышал блюз что ли типа и чё типа о блюз а там чё черный сидит;30c6cfbb-2942-4cd7-aaef-41c1b7c28ec2;"наверное; слышала; или; а"
с момента русско-турецкой войны крым отошёл российскому государству в российское государство входила украина и часть беларуси;С момента русско-турецкой войны Крым отошел к российскому государству. В российское государство входила Украина и часть Беларуси.;31f090b7-54a4-462e-a9c4-fcf9209cc1ca;к
стремление да страсть к выпивке и почему-то в этом сне такой разворот времени что я как некий наблюдатель я знаю что;стремление, да, страсть к выпивке. И почему-то в этом сне такой разворот времени, что я как некий наблюдатель, я знаю, что...;3336a8c7-48cf-4cef-aa79-5d533b85d1ac;
ещё раз напомню о том что я вас очень люблю я вас ценю и я очень благодарна что вы у меня есть;И еще раз напомню о том, что я вас очень люблю, я вас ценю, и я очень благодарна, что вы у меня есть.;3921d466-a94b-498a-baad-8edf0e665207;и
и я хочу чтобы это прописали в договоре что вот эта территория даётся нам в пользование на время пока мы тут живём;И я хочу, чтобы это прописали в договоре, что вот эта территория дается нам в пользование на время, пока мы тут живем.;3eb6fb9e-13c8-459f-a6ae-32503319d5e7;
так гарик подожди объясни мне а что планируется в пятницу я типа не шарю я шарю что в четверг вот это вот сходка по стрыкало а что в пятницу будет;так гарик подожди объясни мне а что планируется в пятницу эти пони шария шаре что в четверг вот этот вход к посты кола а что в пятницу будет а;46f3f025-075f-499f-bc0c-62661a58b3e9;"типа; не шарю; я шарю; эта вот сходка по стрыкало"
на поперечниках оно вообще как-то всё очень плохо со впуском там сколько у тебя загибов перегибов углов девяносто градусов штук пять;на побережье как вообще как то все очень плохо со впуском там сколько у тебя загибов перегибов углов 90 градусов штук 5;47ce3dd1-ec21-4197-a183-98b6995168f6;"поперечниках; оно"
а вот приеду я в июне в питер мы встретимся с сенечкой с мишаней с костей возможно и чему я буду очень сильно рада;Вот приеду я в июне в Питер, мы встретимся с Сенечкой, с Мишаней, с Костей, возможно, и чему я буду очень сильно рада.;4a41249b-5ed9-43a2-a6ee-4f800cd19907;а
привет открой сагу сумерки привет искать битву за севастополь привет кто такой бенедикт кемербедж;Привет, открой сагу Сумерки. Привет, искать битву за Севастополь. Привет, кто такой Бенедикт Кемербэтч?;4ad3ccf9-d66c-48c1-acdd-a441e0aaa863;
не просто прикол весь в том что я находила не раз всякие там на форумах сообщения о том что;Не, просто прикол весь в том, что я находила не раз всякие там на форумах сообщения о том, что...;4c871225-ff95-448a-9e61-9c6f689a5fc5;
доброго утра а может быть и дня но каждое утро это начало чего-то начало дня;Доброго утра, а может быть и дня. Но каждое утро это начало чего-то. Начало дня.;4f65b5e5-39c9-4f84-90c7-5a26bb8d84f5;
сейчас оторвалась от реферата прошла мимо зеркала и поняла что вообще ни разу не похожа на человека которому можно доверить свое животное;Сейчас оторвалась от реферата, прошла мимо зеркала и поняла, что вообще ни разу не похожа на человека, которому можно доверить свое животное.;53e80eca-bba1-4cd2-9661-c64b75dc7aff;
я просто не предст- я недавно читала книгу кто-то советовали я уже не помню название не помню;Я просто не представляю, я недавно читала книгу, тут советовали, я уже не помню название, не помню;572d927a-9fb0-41d7-8871-5de4ab409030;кто-то
о вот звонили продлеваторы короче с трёх часов выйду в центр хоть погуляю до девяти не знаю заказы сегодня будут не будут;О, вот звонили продлеваторы, сейчас с 3 часов выйду в центр, хоть погуляю до 9. Не знаю, заказы сегодня будут, не будут.;58a3bdea-58e6-4cdf-ade8-46536566f9e5;
что в условиях в которых находится наша страна в принципе недопустимо почему потому что есть вы потому что если что придёт россия и будет отхапывать;что в условиях, в которых находится наша страна, в принципе, недопустимо. Почему? Потому что есть вы. Потому что, если что, придет Россия и будет хапывать.;59c341f3-e648-4075-b414-9f08cd7ba821;отхапывать
вот за хор я не знаю но больше всего что он будет завтра на тринадцать тридцать как и был до этого вот;За хор я не знаю, но больше всего он будет завтра на 13.30, как и был до этого.;5b5ab34d-fc9f-476c-89cf-5a42aef19692;"вот; что (шо)"
я на улице-то не брожу в основном что работа дом работа простыла тут как бы перемена климата это очень тяжело;Я на улице-то не брожу. В основном всё работа, дом, работа. Простыла. Тут как бы перемены климата, это очень тяжело.;5bc48f20-11c9-4f1d-945c-bcc9add68257;"что (чё); перемена"
ну да согласен кому какой привет такой ответ это знаешь как бы в этой группе как бы ну существует такой;Ну да, согласен. Кому? Какой привет? Какой ответ? Это знаешь, как бы в этой группе существует такое...;5d361916-c53a-4b51-a770-6553b1ec541d;"как бы; ну"
горевала в тоске настасья обливала себя слезами посрывала все покрывала от чего же все эти страсти;И гревала в тоске Анастасия, обливала себя слезами, посрывала все покрывала. Отчего же все эти страсти?;5f6dc3b9-031e-49ea-919b-a92167513751;горевала
и я бы хотела узнать у меня последняя оплата за мобильный телефон в феврале и сколько должна я платить в конце хотела узнать;Я бы хотела узнать, у меня последняя оплата за мобильный телефон в феврале. И сколько должна я платить? В конце хотела узнать.;62122099-38fd-4cd8-a81c-42078e84d27d;
сейчас я тебе скину прямо сюда ссылку на короче тюмень все вот эти городишки;Сейчас я тебе скину прям сюда ссылку на, короче, Тюмень, все вот эти городишки.;6397a191-805d-48f4-be5a-b08d59c49f20;
а мне очень понравилось это было очень классно динамично быстро быстрая активная такая интуитивная трансформация все вот то что именно мне подходит;Мне очень понравилось, это было очень классно, динамично, быстро, быстро, активно, такая интуитивная трансформация, всё вот то, что именно мне подходит.;6a0d0cb7-a4b5-44cb-a700-3a217dac48ef;"а; быстрая; активная"
ну в принципе в основном всё понятно вот и в пятницу вроде как приеду тогда второго октября;Ну в принципе, в основном все понятно. И в пятницу я вроде как приеду тогда, 2 октября.;6adb6156-b1a8-46a9-af1d-b8979eea5b67;вот
имя нам легион и это единственная моя реакция на это слово;именам легион. И это единственная моя реакция на это слово.;6e09f576-05f6-47c8-9ec4-82c3f566236d;имя нам
сейчас максимка поколдует помозгует придумает новую монету новый проект;максимка поколдует по мозгует придумает новую монету новый проект;6eb0330e-e66d-4248-bc1f-7f9bc6599742;"сейчас; помозгует"
я после его фразы что он хочет себя мудрую женщину и старше себя больше ему не писала ну не собираюсь в принципе;Я после его фразы, что он хочет себе мудрую женщину и старше себя, больше ему не писала. Ну, не собираюсь, в принципе.;70b79499-eb5e-4920-8153-e00579a8062e;
а я откуда знаю про сварщик я его вообще даже не видел не слышал он что-то вчера попиликал и все сегодня вообще ничего не писал и вышел;А я откуда знаю про сварщика, я вообще даже не видел, не слышал. Он что-то вчера попиликал и всё, сегодня вообще ничего не писал и вышел.;713d90d9-517f-416c-9981-75d7ca414c94;его
ну ничего типа я сказала всех приписать ну потому что ну все поддерживали вот вот как бы продакшн так сказать у меня аж голос сел ха-ха;Ну ничего, типа я сказала всех прописать, ну потому что, ну, все поддерживали, вот. Вот, как бы, продакшн, так сказать, у меня аж голос сел.;71ce2ab6-c9c1-42a3-a379-70ad5d4a1e61;приписать
а похожему на то что происходит в тик ток потому что если бы сейчас инстаграм просто совместил раздел дискавери и основную новостную ленту ну;похожему на то, что происходит в ТикТок. Потому что если бы сейчас Инстаграм просто совместил раздел Discovery и основную новостную ленту, ну...;730067a8-0c6a-477c-aaec-0d02ada3d771;а
а вообще я сейчас думаю говорить тебе что твой голос вызывает у меня крайне приятные ощущения или всё же не стоит тебя смущать;А вообще, я сейчас думаю, говорить тебе, что твой голос вызывает у меня крайне приятные ощущения, или всё же не стоит тебя смущать?;754024a6-18e0-4aaf-966f-4ea6e7e7ae72;
да ну так это ясно что не ну попадались адекваты я тебе скажу так мне по крайней мере в тиму попадались адекваты взрослые люди;Да, ну так это ясно, что... Не, ну попадались адекваты, я тебе скажу так. Мне, по крайней мере, в тему попадались адекваты, взрослые люди.;779a2ccb-6a20-4672-a623-cbeb489fca95;тиму
ну точнее противопоказаний а риски там да определённые есть но как там вот писали в статье что;Точнее противопоказаний. А риски там, да, определенные есть. Но как там писали в статье, что...;7a526e69-3949-4469-a252-cd649bf441b0;ну
да всё понял вас смотрите а опыт работы с один с у вас он и сейчас есть или он в прошлом;Да, все, понял вас. Смотрите, а опыт работы с 1С у вас и сейчас есть или он в прошлом?;7bf59b8b-ecc9-4ef6-a809-16291c050293;он
является не хорошо или плохо а ключевым критерием является наличие и отсутствие в команде однородного понимания;является не «хорошо или плохо», а ключевым критерием является наличие и отсутствие в команде однородного понимания,;7ce0f23a-b5b2-4ecc-8984-790bfec59939;
ну хи-хи скажем так а главный-то основной пунктик мне где взять-то;Ну, скажем так, а главный-то, основной пончик мне где взять-то?;7e4d8f60-604f-4b5c-ac2a-2fcd080aed00;пунктик
счастья тебе и огромной огромной взаимной любви чтобы она тебя окутывала и никогда не покидала;Счастья тебе и огромной-огромной взаимной любви Чтобы она тебя окутывала и никогда не покидала;82b7d24b-a45f-495f-9397-7ac7b2dd13d6;
средняя зарплата ну начинается она от так ну это триста триста пятьдесят рублей это ставка это белорусских рублей умножайте на три;средняя зарплата, ну, начинается она от так, ну, это 350 рублей, это ставка, это белорусских рублей, умножайте на 3,;82ce9101-42d8-4fd0-8445-94a7985a7b5f;триста
что происходит на самом блин деле поэтому тебе нужно сейчас включиться просто на максимум найти эти деньги зайти в бизнес и;что происходит на самом, блин, деле. Поэтому тебе нужно сейчас включиться просто на максимум. Найти эти деньги, зайти в бизнес и;83790055-5c65-47ba-aeb8-76c573b79084;
румынские старцы сказали сентябрь октябрь голод будет я не знаю они сказали про румынию или про всех я читаю статьи;Румынские старцы сказали сентябрь-октябрь голод будет. Я не знаю, они сказали про Румынию или про всех. Я читаю статьи.;851aa076-9b3c-4bde-b4a1-4aa4214789cf;
ребята обсудили возможность аренды полигона между вторым и третьим фортом там есть старая расформированная часть;Ребята обсудили возможность аренды полигона между вторым и третьим фортами, там есть старая расформированная;8c1b7f27-3cba-4cdd-b4fc-34d1bae1774e;"фортом; часть"
несколько очень умных фраз которые могут изменить всю нашу жизнь технологически распределяет зависимость атомной функции;Несколько очень умных фраз, которые могут изменить всю нашу жизнь Технологически распределяет зависимость атомной функции;8c796a57-1285-4e06-b8c9-3431e274f395;
как бы полезным можно быть если ты до какой-то верхушки определённой доберёшься в какой-то конкретной сфере и сможешь что-то другим людям там преподнести ну я не знаю;Как бы полезным можно быть, если ты до какой-то верхушки определённой доберёшься в какой-то конкретной сфере и сможешь что-то другим людям там преподнести. Ну, я не знаю.;8cd57447-b14f-4314-a982-9cb5db661aa3;
а вот и программисты там инженеры договорились что восемь таких и;Вот, и программисты, инженеры договорились, что 8 таких...;8de7eb8d-c06b-492a-9068-11c2e66cbbb8;"а; там"
ну с кем-то сюсюкаться что-то где-то кого-то выяснять тоже не вижу смысла все люди взрослые;с кем то сисюкаться где то кого то выяснять тоже не вижу смысла все люди взрослые;9005badd-25b0-43c1-9e37-33d1218e5867;"ну; что-то; сюсюкаться"
нужен ей мужчина семейный или успешный потому что два в одном не бывает вообще не бывает это будет такая;нужен ей мужчина семейный или успешный. Потому что два в одном не бывает. Вообще не бывает. Это будет такая...;95e6651a-c16a-4afa-ba1a-01ddfecd80c9;
я вообще не понимаю наших учителей потому что мне кажется то что они роботы они вообще не спят зачем делать уроки в восемь тридцать;Я вообще не понимаю наших учителей, потому что мне кажется, что они роботы, они вообще не спят. Зачем делать уроки в 8.30?;9b8e896c-f813-4bc7-b214-a47e041a1313;то
так что у меня короче разбомбило я я чисто всё продал за ноль три вот и вот так вот короче;так что у меня короче разбомбила я я чисто все продал за 0 3 вот и вот так короче;a3bcdbe5-d734-4dbb-be12-c63da1b74b76;разбомбило
в непривычный для меня формат для меня это не было ни стрессом ничего для меня это просто не мой формат все;в непривычный для меня формат. Для меня это не было ни стрессом, ничего. Для меня это просто не мой формат. Все.;a3d2c909-27af-49e6-902f-0dfde5391e7f;
ну типа да велики я сам хотел предложить но велики типа когда хочешь вечером утром рано утром;Ну, типа, да, велики я сам хотел предложить, но велики, типа, когда хочешь, вечером, утром, рано утром.;a83acaea-686c-4dd0-8b60-150bbe73b269;
они все идут дальше они идут на другие книжки особенно когда завершаешь и ещё плюс там же реклама идёт да на широкие настройки;Они все идут дальше, они идут на другие книжки, особенно, когда ты завершаешь. И еще плюс там же реклама идет на широкие настройки.;a8bb242c-9abf-48ac-89d7-1be75a96eefb;да
а она всё равно не дошла ха-ха вот какая-то вот случайная неслучайность неслучайная случайность ну в общем-то;а она всё равно не дошла. Вот какая-то вот случайная-неслучайность, не случайная-случайность, ну, в общем-то,;aa6574b4-d6de-4d01-b56a-46ec4be28be8;
изменам и ситуациям и историям с изменами нужно узнавать с двух сторон знаешь то что может быть;изменам и ситуациям и историям с изменами нужно узнавать с двух сторон знаешь то что может быть;ac21975a-3948-45ce-b21a-ee441fcb00ba;
люблю зануд не в плане их там занудности да просто обычно такие люди оказываются очень;люблю занудные в плане их там занудности, да. Просто обычно такие люди оказываются очень;ac94e7d0-0210-439f-a9e7-b21aba4f8051;"зануд; не"
и я даже сама себя поздравила с таким моментом что я нашла свой икигай;И я даже сама себя поздравила с таким моментом, что я нашла свой икигай.;b284c1cb-ae50-438f-a9d0-dcf03cd58d36;
строка сорок четвёртая мысль пятая да конечно мы понимаем что у вас есть ограничения связанные с локацией именно поэтому;Строка 44, мысль 5. Да, конечно, мы понимаем, что у вас есть ограничения, связанные с локацией. Именно поэтому...;b33fac74-a2e4-46dd-8aa9-577d5ce7d846;
позвони если им прямо надо надо надо то я могу сейчас съездить к девочкам отвезти но я буду где-то в течение полутора часов я не успею в течение часа;Позвони, если им прямо надо, надо, надо, то я могу сейчас съездить к девочкам, отвезти, но я буду где-то в течение полутора часов, я не успею в течение часа.;b359b045-0fa2-455b-bf16-2710c8a7943f;
ээ мне поставили счётчик новый тринадцатого числа как мне вот;Мне поставили счетчик новый 13 числа, как мне вот;b562461a-b195-4fc8-b5aa-513c6cd70aa3;
вот потому что это тоже задача первостепенная тебе на сегодня чтобы мы это сделали утвердили и могли как бы двигаться дальше;Потому что это тоже первостепенная задача тебе на сегодня, чтобы мы это сделали, утвердили и могли двигаться дальше.;b5cd7862-34ed-43f0-99b7-c144a99dac34;"вот; как бы"
потому что я не могу терпеть карину честно просто её характер меня выносит то есть я начинаю бомбить ей дерзить;Потому что я не могу терпеть Карину, честно. Просто ее характер меня выносит. То есть я начинаю бомбить, ей дерзить.;b886db49-b627-4831-9fa9-ac9f6560ac74;
и это всё из-за сейчас где он где он вот из-за этого камушка это вот;И это все из-за... Сейчас, где он? Где он? Вот из-за этого камушка. Это вот...;bdc75438-a9dc-4ed9-a6e4-d98372a86657;
зачем ты вот скажи мне зачем ты вот какой-то фантазию себе делаешь нереальное вот что-то себе представляешь на будущее;А зачем ты, скажи мне, зачем ты какую-то фантазию себе делаешь нереальную, что ты себе представляешь на будущее?;bfdfa931-ca11-49da-84c1-84e1a1661b5a;"вот; что-то"
речь вообще шла о двенадцати ну видимо как бы начальная точка двенадцать будет и так чтобы уже сама инаугурация в два;Речь вообще шла о 12. Видимо, начальная точка 12 будет. И так, чтобы уже сама инаугурация в 2.;c07dc095-36dc-4e3b-818c-9c33441e7ae4;"ну; как бы"
ну и короче мы пришли к выводу довольно-таки быстро о том что она просто смотрит мои сторисы и и блокирует меня чтобы я не видела что она их смотрит;Ну и, короче, мы пришли к выводу довольно-таки быстро о том, что она просто смотрит мои сторисы и блокирует меня, чтобы я не видела, что она их смотрит.;c15f3535-1a6e-4096-af4a-004f0ab9aa3b;
во-первых чтобы ты таким образом научилась делать свой первый заказ да поняла как работает доставка оплата получение и вообще в принципе познакомилась немного с продуктом;Во-первых, чтобы ты таким образом научилась делать свой первый заказ, поняла, как работает доставка, оплата, получение. Вообще, в принципе, познакомилась немного с продуктом, что;c1dccfb0-5360-4852-a35a-5b36849f2e8a;да
это вот к примеру сейчас пенсия там сколько на девятьсот рублей да выросла;Это вот, к примеру, сейчас пенсия на 900 рублей выросла.;cabd548a-7ef8-4e10-82af-2f81218e9994;"сколько; да"
содержимое этой голосовухи то есть он не на сто процентов идеально но иногда какие-то слова странно слышит но в целом если у человека довольно членораздельная речь;содержимое этой голосовухи. То есть он не на сто процентов идеально, он иногда какие-то слова странно слышит, но в целом, если у человека довольно членораздельная речь,;d4c25b1f-17ac-4f1c-9763-57c17476cae9;
да ну не соглашусь но всё равно приятно когда мужик красивый рядом когда ты с ним приходишь куда и тебе не стыдно его показать и ты так идёшь и думаешь;Да ну не соглашусь. Все равно приятно, когда мужик красив рядом. Когда ты с ним приходишь куда-то, тебе не стыдно его показать. А ты так идешь и думаешь...;df7dbf4b-0044-4503-b5d3-1b559bb928d3;красивый
самая орная что-то движок может считывать информацию с нашей беседы и распространять ну типа куда-то ну короче это как человек только робот;Самое ордное, что этот движок может считывать информацию с нашей беседы и распространять. Ну, типа, куда-то. Ну, короче, это как человек, только робот.;e271ce7b-dbeb-4d45-8757-f817a270ac02;орное
самое обидное что мне до дома идти минут десять то есть я просто не могу пробежаться быстренько к подъезду то есть мне по-любому надо че то делать;Самое обидное, что мне до дома идти минут 10. Я просто не могу пробежаться быстренько к подъезду. Мне по-любому надо что-то делать.;e290ff4f-1c08-4a83-8567-d28462109ee1;то есть, то есть
чудеса что для тебя будет чудо что ты подразумеваешь под чудом;Что для тебя будет чудом? Что ты подразумеваешь под чудом?;e2b5dfa2-2158-4f87-8bd2-717c2b2a6ec4;чудеса
меня короче так накатило вчера блин реально было очень плохо я задыхалась я думала у меня приступ случился;Меня, короче, так накатило вчера. Блин, реально было очень плохо. Я задыхалась. Думаю, у меня приступ случился.;e2f61ca6-c4e9-4344-a781-0a205c4dbb10;
понимаете на данный момент вот эти вот меры они неправильные то есть я не могу сказать что это будет именно так;Понимаете, на данный момент вот эти вот меры они неправильные. То есть я не могу сказать, что это будет именно так.;e5737e01-ac7b-4cf6-8064-6e0055d8a345;
вот училка задала я написал а как написал но можно же пойти на диалог с учителем со мной;Вот училка задала, я написал. А как написал? Ну, можно же пойти на диалог с учителем со мной?;e5df04ac-5746-42c4-b35c-4240ee8802c7;
когда много подсумков каких-то не нужно то есть в отличие от жилета он цепляется прямо очень быстро просто через голову продел пояс застегнул;когда много подсумков каких-то не нужно. То есть в отличие от жилета, он цепляется прям очень быстро. Просто через голову продел, пояс застегнул,;e62fda7c-c1c8-4d71-aca2-171309726bf0;
я зашла там всё слишком сложно поэтому я лучше так типа я сделаю вид что типа поняла что за цифры;Я зашла там все слишком сложно, поэтому я... Лучше так. Типа я сделала вид, что я типа поняла, что за циферки.;eb29b431-5263-4cfa-8b08-32f1a7129edd;сделаю
у меня не скороговорка у меня есть этот как оно с текстовая частушка;У меня не скороговорка, у меня есть этот, как оно, текстовая частушка.;ef863867-8b65-4504-a22a-433218074e04;с (хезитация)
в тот момент когда реально нужно с кем-то заговорить зацепиться и соответственно получить какие-то от этого бонусы в плане какого-то сотрудничества и так далее;в тот момент, когда реально нужно с кем-то заговорить, зацепиться и, соответственно, получить какие-то от этого бонусы в плане какого-то сотрудничества и так далее.;efa9eef2-0993-4441-819d-0abaa8a75266;
извини но реально как ты можешь знать тон по тому что ты читаешь весь этот текст;Извини, но реально, как ты можешь знать тон, потому что ты читаешь весь этот текст?;f1a19d3b-116a-42cb-a66a-30a029aa78a7;
короче как я и думала вторая часть на много лучше первой да саша да;Короче, как я и думала, вторая часть намного лучше первой. Да, Саша? Да. Вот.;f3279b89-fbe3-4a55-a82a-c2acb0790ac5;
короче планировалось изначально показывать в самом макете да а анимацию а каждый раз она вставала вот совсем по тупому;Короче, планировалось изначально показывать в самом макете анимацию, а каждый раз она вставала совсем по-тупому.;f7890c9c-7e45-45b4-951f-3138a64ca679;"да; а; вот"
не он вообще то выложил сразу в тот же самый день когда ты его попросил на страничку в вк я тебе ещё отправлял только ты говорил у меня же нет вк;Нет, он вообще-то выложил сразу в тот же самый день, когда ты его попросил на страничку ВК. Я тебе еще отправлял, только ты говорил, у меня же нет ВК.;f8c6ad8b-c631-4502-a271-7ae23cb43ab8;
не хочу я твоих бутербродов ничего не хочу хочу чтобы мозг перестал болеть у меня что-то как-то мне дико кроет просто сегодня;Не хочу я твоих бутербродов, ничего не хочу. Хочу, чтобы мозг перестал болеть у меня. Что-то как-то мне дико кроет просто сегодня.;fdd2a3cb-33f4-4d4e-821f-0b596d7bf303;
